800131	115.12	0.06641	50.375	-0.0336	62.25	0.1043	72.875	0.0581	33.75	0.08646	54.875	0.09768	68.625	0.06587	34.625	-0.0382	67.25	0.1372
800229	113.66	-0.0126	49.25	0.00323	79.5	0.29305	75.375	0.03431	30.5	-0.0963	50.625	-0.0578	63.5	-0.063	33.375	-0.0362	65.5	-0.026
800331	102.09	-0.1018	48.625	-0.013	65.5	-0.1761	61.625	-0.1823	29.125	-0.045	46.125	-0.0889	55.75	-0.1223	34.375	0.04297	62.875	-0.0387
800430	106.29	0.04108	52.625	0.08216	70.75	0.08003	64.5	0.04679	24.375	-0.128	45.5	-0.0136	54.875	-0.0158	38	0.10534	57.5	-0.0854
800530	111.24	0.0466	53.375	0.03771	73.125	0.04724	65.5	0.01571	24.5	0.00505	44.75	-0.0023	55.375	0.02527	38	-0.0001	61.25	0.06517
800630	114.24	0.02703	52.5	-0.0164	76.5	0.04622	66.875	0.0209	24.625	0.00493	46.5	0.03877	58.75	0.0608	40.25	0.06983	62.375	0.02
800731	121.67	0.06515	52.25	-0.0046	74.5	-0.0261	79.125	0.18266	28.5	0.17114	52.375	0.12636	65.25	0.11076	45.5	0.13046	76	0.21838
800829	122.38	0.00579	53.375	0.04573	73.375	-0.0026	85.5	0.08064	27.625	-0.0308	53.5	0.03277	65.5	0.01699	44.125	-0.0304	71.25	-0.0623
800930	125.48	0.02529	51.875	-0.0281	75.75	0.03249	89.375	0.04542	27.625	0.00003	52.75	-0.014	64.125	-0.0211	42.125	-0.0365	74.875	0.05234
801031	127.47	0.01585	49.75	-0.0409	84.375	0.12705	86.875	-0.028	25.75	-0.0567	49.125	-0.0685	66.625	0.0391	42.625	0.01189	73.5	-0.0181
801128	140.52	0.10233	47.625	-0.0174	115	0.36316	91.75	0.05601	22.375	-0.1311	44.375	-0.0859	68.125	0.03541	41	-0.038	90	0.22472
801231	135.76	-0.0339	47.875	0.00513	99.5	-0.1349	95	0.03531	20	-0.1061	45	0.0139	67.875	-0.0037	43.25	0.06523	89.5	-0.0042
810130	129.55	-0.0457	52.125	0.08898	91.25	-0.0828	86.5	-0.0893	19.75	0.00339	46	0.02223	64.375	-0.0516	43.75	0.01143	82.25	-0.0811
810227	131.27	0.01333	51.75	0.01848	91.625	0.01565	87	0.00587	19.625	-0.0063	50.125	0.10337	64.25	0.01141	48	0.09723	87.5	0.06389
810331	136	0.03622	51.5	-0.0051	41	-0.1051	93.5	0.07477	24	0.22275	52.875	0.05487	62.375	-0.029	51.125	0.07622	92.5	0.05814
810430	132.87	-0.023	55.125	0.07032	41.375	0.00919	100.5	0.075	21.375	-0.0982	54	0.02128	58.625	-0.0603	50.75	-0.0075	98.5	0.06492
810529	132.59	-0.0021	57.875	0.07514	37.75	-0.0766	111.25	0.10656	23	0.07596	55.625	0.04183	58.75	0.01733	52	0.02464	106	0.07629
810630	131.21	-0.0104	56.25	-0.028	37.5	-0.0065	98.75	-0.1126	23.875	0.03795	53	-0.0471	57.875	-0.0149	49.75	-0.0341	95.125	-0.1015
810731	130.92	-0.0023	56.5	0.00455	42.5	0.13332	97.375	-0.0139	21.625	-0.0821	51.375	-0.0308	56.125	-0.0301	49.75	0.00005	47.75	0.00386
810831	122.79	-0.0621	55.375	0.00387	41.875	-0.0007	91	-0.0654	19.75	-0.0868	46.375	-0.0861	55.125	-0.0031	45.75	-0.0802	43.5	-0.0889
810930	116.18	-0.0539	57.875	0.04524	38.25	-0.0867	89.25	-0.0193	19.75	0.00028	44.625	-0.0376	54.125	-0.0183	47.125	0.04166	42	-0.0332
811030	121.89	0.0492	59.5	0.02832	42.75	0.13329	98.375	0.10233	16.25	-0.1621	36.5	-0.1821	51.5	-0.0484	52	0.10333	45.75	0.08917
811130	126.35	0.03663	59.375	0.02076	45	0.05238	92	-0.0651	16.625	0.02312	37	0.03083	54.5	0.07565	52.375	0.0074	41.375	-0.0957
811231	122.55	-0.03	58.75	-0.0104	42.875	-0.0474	86.5	-0.06	16.75	0.00754	38.5	0.04055	56.875	0.04339	48.75	-0.0604	39.625	-0.0408
820129	120.4	-0.0175	59.875	0.0192	36.5	-0.1488	88.875	0.02738	18.25	0.08956	38	-0.0131	63.625	0.118681319	50.375	0.03313	44.75	0.12934
820226	113.11	-0.0605	54.625	-0.0651	31.75	-0.115	84.5	-0.0492	19.125	0.04799	37	-0.0107	61.875	-0.0143	45.5	-0.0968	42.5	-0.0503
820331	111.96	-0.0104	56.25	0.02972	30.625	-0.0354	75.75	-0.1037	20.75	0.08511	41	0.10817	59.75	-0.0344	47.25	0.05178	40.375	-0.0487
820430	116.44	0.03989	54.375	-0.0332	29.875	-0.0244	79.875	0.05446	22.625	0.09018	41.75	0.01822	64.25	0.07537	51.375	0.08734	44.25	0.09601
820528	111.81	-0.0398	52.875	-0.003	33.125	0.13026	75.375	-0.0564	22.75	0.00555	42.875	0.04137	61.5	-0.0302	49.25	-0.0413	43.75	-0.0113
820630	109.61	-0.0198	51	-0.0357	28.75	-0.1321	69.875	-0.0731	24	0.05483	44.625	0.0408	60.625	-0.0141	51.25	0.05338	42.5	-0.0271
820730	107.1	-0.0229	52.25	0.02442	25.25	-0.1217	66	-0.0554	22.625	-0.0575	42.75	-0.0421	65.625	0.08254	47.875	-0.0659	41.625	-0.0202
820831	119.51	0.11575	56.625	0.10959	27.75	0.1249	84	0.27273	27.5	0.21561	48.375	0.14809	70.5	0.08872	54.25	0.13293	54.25	0.30331
